,dataset,accuracy,precision,recall,f1_score
0,Train_data,0.9888888888888889,0.9867256637168141,0.9911111111111112,0.9889135254988913
0,Test_data_1,1.0,1.0,1.0,1.0
0,Test_data_2,0.5208333333333334,0.5208333333333334,1.0,0.684931506849315
