,dataset,accuracy,precision,recall,f1_score
0,Train_data,0.92,0.9478672985781991,0.8888888888888888,0.9174311926605505
0,Test_data_1,0.9137931034482759,0.9375,0.9090909090909091,0.9230769230769231
0,Test_data_2,0.75,0.6756756756756757,1.0,0.8064516129032258
